The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :104.992653148
message ID:/promote/item-00073-10000                       :76.644301429
message ID:/promote/item-00067-10000                       :27.0601351012
message ID:/promote/item-00057-10000                       :72.9650234137
message ID:/promote/item-00005-10000                       :65.5172196156
message ID:/promote/item-00022-10000                       :123.785766422
message ID:/promote/item-00069-10000                       :153.331384866
message ID:/promote/item-00081-10000                       :36.0324568458
message ID:/promote/item-00004-10000                       :140.661552342
message ID:/promote/item-00071-10000                       :145.10930125
message ID:/promote/item-00046-10000                       :28.9759562785
message ID:/promote/item-00195-10000                       :42.0558340682
message ID:/promote/item-00043-10000                       :107.562054565
message ID:/promote/item-00002-10000                       :145.443775956
message ID:/promote/item-00172-10000                       :172.55010349
message ID:/promote/item-00181-10000                       :197.947929338
message ID:/promote/item-00165-10000                       :135.82268336
message ID:/promote/item-00042-10000                       :99.3759055578
message ID:/promote/item-00011-10000                       :139.551245967
message ID:/promote/item-00143-10000                       :58.6623205362
message ID:/promote/item-00102-10000                       :174.752014772
message ID:/promote/item-00127-10000                       :186.495349879
message ID:/promote/item-00147-10000                       :125.320489593
message ID:/promote/item-00145-10000                       :62.2612094891
message ID:/promote/item-00130-10000                       :117.50155932
message ID:/promote/item-00099-10000                       :217.144518249
message ID:/promote/item-00175-10000                       :204.078379848
message ID:/promote/item-00131-10000                       :207.164650963
message ID:/promote/item-00116-10000                       :179.913582976
message ID:/promote/item-00029-10000                       :122.491804814
message ID:/promote/item-00007-10000                       :128.839188822
message ID:/promote/item-00017-10000                       :210.537098551
message ID:/promote/item-00190-10000                       :66.5275158609
message ID:/promote/item-00092-10000                       :191.926862726
message ID:/promote/item-00060-10000                       :227.595769452
message ID:/promote/item-00006-10000                       :233.876825372
message ID:/promote/item-00094-10000                       :194.749934378
message ID:/promote/item-00179-10000                       :104.064937573
message ID:/promote/item-00037-10000                       :227.755279154
message ID:/promote/item-00024-10000                       :126.802810983
message ID:/promote/item-00122-10000                       :207.717014467
message ID:/promote/item-00194-10000                       :77.0584934644
message ID:/promote/item-00100-10000                       :127.918175672
