The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00379-10000               :216                                :YES
/promote/item-00398-10000               :264                                :YES
/promote/item-00091-10000               :164                                :YES
/promote/item-00069-10000               :258                                :YES
/promote/item-00191-10000               :196                                :YES
/promote/item-00292-10000               :274                                :YES
/promote/item-00087-10000               :218                                :YES
/promote/item-00099-10000               :249                                :YES
/promote/item-00343-10000               :182                                :YES
/promote/item-00006-10000               :175                                :YES
/promote/item-00458-10000               :242                                :YES
/promote/item-00125-10000               :168                                :YES
/promote/item-00222-10000               :210                                :YES
/promote/item-00245-10000               :172                                :YES
/promote/item-00259-10000               :225                                :YES
/promote/item-00273-10000               :200                                :YES
/promote/item-00278-10000               :245                                :YES
/promote/item-00384-10000               :244                                :YES
/promote/item-00371-10000               :224                                :YES
/promote/item-00414-10000               :200                                :YES
/promote/item-00055-10000               :255                                :YES
/promote/item-00307-10000               :210                                :YES
/promote/item-00406-10000               :219                                :YES
/promote/item-00132-10000               :157                                :YES
/promote/item-00181-10000               :211                                :YES
/promote/item-00226-10000               :231                                :YES
/promote/item-00060-10000               :253                                :YES
/promote/item-00315-10000               :213                                :YES
/promote/item-00435-10000               :201                                :YES
/promote/item-00170-10000               :217                                :YES
/promote/item-00037-10000               :232                                :YES
/promote/item-00431-10000               :240                                :YES
/promote/item-00471-10000               :171                                :YES
/promote/item-00063-10000               :229                                :YES
/promote/item-00341-10000               :226                                :YES
/promote/item-00325-10000               :250                                :YES
/promote/item-00424-10000               :227                                :YES
/promote/item-00175-10000               :209                                :YES
/promote/item-00018-10000               :236                                :YES
/promote/item-00036-10000               :266                                :YES
/promote/item-00296-10000               :208                                :YES
/promote/item-00439-10000               :191                                :YES
/promote/item-00131-10000               :194                                :YES
/promote/item-00280-10000               :208                                :YES
/promote/item-00137-10000               :243                                :YES
/promote/item-00275-10000               :261                                :YES
/promote/item-00234-10000               :233                                :YES
/promote/item-00211-10000               :216                                :YES
/promote/item-00004-10000               :166                                :YES
/promote/item-00050-10000               :230                                :YES
/promote/item-00071-10000               :217                                :YES
/promote/item-00299-10000               :285                                :YES
/promote/item-00172-10000               :209                                :YES
/promote/item-00373-10000               :204                                :YES
/promote/item-00452-10000               :215                                :YES
/promote/item-00454-10000               :227                                :YES
/promote/item-00127-10000               :230                                :YES
/promote/item-00335-10000               :195                                :YES
/promote/item-00449-10000               :207                                :YES
/promote/item-00375-10000               :225                                :YES
/promote/item-00383-10000               :250                                :YES
/promote/item-00445-10000               :211                                :YES
/promote/item-00073-10000               :267                                :YES
/promote/item-00404-10000               :208                                :YES
/promote/item-00174-10000               :198                                :YES
/promote/item-00223-10000               :203                                :YES
/promote/item-00135-10000               :152                                :YES
/promote/item-00142-10000               :200                                :YES
/promote/item-00260-10000               :211                                :YES
/promote/item-00062-10000               :178                                :YES
/promote/item-00141-10000               :240                                :YES
/promote/item-00327-10000               :234                                :YES
/promote/item-00017-10000               :266                                :YES
/promote/item-00184-10000               :227                                :YES
/promote/item-00243-10000               :250                                :YES
/promote/item-00136-10000               :226                                :YES
/promote/item-00467-10000               :204                                :YES
/promote/item-00388-10000               :191                                :YES
/promote/item-00461-10000               :229                                :YES
/promote/item-00082-10000               :285                                :YES
/promote/item-00318-10000               :249                                :YES
/promote/item-00225-10000               :179                                :YES
/promote/item-00391-10000               :281                                :YES
/promote/item-00102-10000               :231                                :YES
/promote/item-00332-10000               :132                                :YES
/promote/item-00076-10000               :163                                :YES
/promote/item-00113-10000               :152                                :YES
/promote/item-00417-10000               :139                                :YES
/promote/item-00472-10000               :218                                :YES
/promote/item-00023-10000               :246                                :YES
/promote/item-00387-10000               :226                                :YES
/promote/item-00155-10000               :221                                :YES
/promote/item-00287-10000               :203                                :YES
/promote/item-00463-10000               :217                                :YES
/promote/item-00459-10000               :238                                :YES
/promote/item-00448-10000               :186                                :YES
/promote/item-00026-10000               :261                                :YES
/promote/item-00094-10000               :158                                :YES
/promote/item-00089-10000               :259                                :YES
/promote/item-00022-10000               :214                                :YES
/promote/item-00121-10000               :166                                :YES
/promote/item-00358-10000               :245                                :YES
/promote/item-00248-10000               :208                                :YES
/promote/item-00122-10000               :247                                :YES
/promote/item-00200-10000               :216                                :YES
/promote/item-00277-10000               :224                                :YES
/promote/item-00215-10000               :236                                :YES
/promote/item-00027-10000               :201                                :YES
/promote/item-00479-10000               :241                                :YES
/promote/item-00162-10000               :161                                :YES
/promote/item-00020-10000               :151                                :YES
/promote/item-00268-10000               :220                                :YES
/promote/item-00352-10000               :188                                :YES
/promote/item-00182-10000               :164                                :YES
/promote/item-00187-10000               :185                                :YES
/promote/item-00065-10000               :206                                :YES
/promote/item-00008-10000               :209                                :YES
/promote/item-00176-10000               :249                                :YES
/promote/item-00382-10000               :247                                :YES
/promote/item-00165-10000               :199                                :YES
/promote/item-00286-10000               :209                                :YES
/promote/item-00208-10000               :230                                :YES
/promote/item-00407-10000               :198                                :YES
/promote/item-00367-10000               :142                                :YES
/promote/item-00124-10000               :224                                :YES
/promote/item-00385-10000               :202                                :YES
/promote/item-00310-10000               :222                                :YES
/promote/item-00116-10000               :264                                :YES
/promote/item-00011-10000               :185                                :YES
/promote/item-00212-10000               :181                                :YES
/promote/item-00282-10000               :220                                :YES
/promote/item-00489-10000               :196                                :YES
/promote/item-00370-10000               :90                                :YES
/promote/item-00238-10000               :128                                :YES
