The message ID:                                            :   Delay
message ID:/promote/item-00435-10000                       :57.5011691178
message ID:/promote/item-00132-10000                       :62.6279349199
message ID:/promote/item-00471-10000                       :71.9869122499
message ID:/promote/item-00245-10000                       :74.0289591253
message ID:/promote/item-00448-10000                       :96.1591630748
message ID:/promote/item-00445-10000                       :90.781195069
message ID:/promote/item-00370-10000                       :49.4293485766
message ID:/promote/item-00022-10000                       :106.197526422
message ID:/promote/item-00181-10000                       :127.323929338
message ID:/promote/item-00494-10000                       :26.5612311546
message ID:/promote/item-00069-10000                       :130.538824866
message ID:/promote/item-00102-10000                       :97.9551347717
message ID:/promote/item-00297-10000                       :30.9228001668
message ID:/promote/item-00355-10000                       :81.6329551064
message ID:/promote/item-00134-10000                       :33.5337339535
message ID:/promote/item-00157-10000                       :109.238527179
message ID:/promote/item-00100-10000                       :40.248175672
message ID:/promote/item-00274-10000                       :28.3571404089
message ID:/promote/item-00365-10000                       :2.29130871727
message ID:/promote/item-00426-10000                       :57.702069789
message ID:/promote/item-00287-10000                       :119.101592331
message ID:/promote/item-00455-10000                       :24.2140776039
message ID:/promote/item-00223-10000                       :142.31848405
message ID:/promote/item-00424-10000                       :156.83883665
message ID:/promote/item-00234-10000                       :173.536729975
message ID:/promote/item-00089-10000                       :142.197966428
message ID:/promote/item-00412-10000                       :74.9764922871
message ID:/promote/item-00275-10000                       :178.236992846
message ID:/promote/item-00431-10000                       :191.139897918
message ID:/promote/item-00082-10000                       :167.00757208
message ID:/promote/item-00099-10000                       :202.633958249
message ID:/promote/item-00421-10000                       :115.833029004
message ID:/promote/item-00277-10000                       :197.090911316
message ID:/promote/item-00214-10000                       :129.303281329
message ID:/promote/item-00233-10000                       :137.60897202
message ID:/promote/item-00292-10000                       :215.515234012
message ID:/promote/item-00093-10000                       :79.6974317373
message ID:/promote/item-00418-10000                       :197.608728265
message ID:/promote/item-00462-10000                       :128.774820614
message ID:/promote/item-00005-10000                       :146.015699616
message ID:/promote/item-00492-10000                       :162.897635868
message ID:/promote/item-00318-10000                       :198.602814718
message ID:/promote/item-00108-10000                       :121.325799861
message ID:/promote/item-00023-10000                       :208.052878798
message ID:/promote/item-00238-10000                       :177.088546909
message ID:/promote/item-00362-10000                       :165.540962009
message ID:/promote/item-00027-10000                       :204.60607076
message ID:/promote/item-00463-10000                       :215.27988272
message ID:/promote/item-00076-10000                       :221.740226474
message ID:/promote/item-00248-10000                       :208.463414168
message ID:/promote/item-00065-10000                       :199.072854361
message ID:/promote/item-00391-10000                       :224.60501254
message ID:/promote/item-00153-10000                       :121.652300624
message ID:/promote/item-00278-10000                       :259.362124742
message ID:/promote/item-00142-10000                       :235.178627932
message ID:/promote/item-00480-10000                       :189.883575279
message ID:/promote/item-00341-10000                       :254.721546226
message ID:/promote/item-00163-10000                       :133.066076991
message ID:/promote/item-00352-10000                       :213.869173841
message ID:/promote/item-00139-10000                       :193.633546823
message ID:/promote/item-00443-10000                       :173.879022085
message ID:/promote/item-00058-10000                       :233.003661525
message ID:/promote/item-00419-10000                       :256.702462734
message ID:/promote/item-00483-10000                       :187.422637165
message ID:/promote/item-00314-10000                       :205.909422971
message ID:/promote/item-00343-10000                       :302.224825796
message ID:/promote/item-00262-10000                       :183.910929178
