The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00379-10000               :8504                                :YES
/promote/item-00398-10000               :12411                                :YES
/promote/item-00091-10000               :10161                                :YES
/promote/item-00069-10000               :11971                                :YES
/promote/item-00191-10000               :10328                                :YES
/promote/item-00292-10000               :9736                                :YES
/promote/item-00087-10000               :9547                                :YES
/promote/item-00099-10000               :10434                                :YES
/promote/item-00343-10000               :8652                                :YES
/promote/item-00006-10000               :11530                                :YES
/promote/item-00458-10000               :9965                                :YES
/promote/item-00125-10000               :10088                                :YES
/promote/item-00222-10000               :8234                                :YES
/promote/item-00245-10000               :10600                                :YES
/promote/item-00259-10000               :10757                                :YES
/promote/item-00273-10000               :9143                                :YES
/promote/item-00278-10000               :10593                                :YES
/promote/item-00384-10000               :11499                                :YES
/promote/item-00371-10000               :10338                                :YES
/promote/item-00414-10000               :11777                                :YES
/promote/item-00055-10000               :9406                                :YES
/promote/item-00307-10000               :11121                                :YES
/promote/item-00406-10000               :10061                                :YES
/promote/item-00132-10000               :10372                                :YES
/promote/item-00181-10000               :10771                                :YES
/promote/item-00226-10000               :9636                                :YES
/promote/item-00060-10000               :8073                                :YES
/promote/item-00315-10000               :8198                                :YES
/promote/item-00435-10000               :9976                                :YES
/promote/item-00170-10000               :10052                                :YES
/promote/item-00037-10000               :8374                                :YES
/promote/item-00431-10000               :7701                                :YES
/promote/item-00471-10000               :10808                                :YES
/promote/item-00063-10000               :10079                                :YES
/promote/item-00341-10000               :11731                                :YES
/promote/item-00325-10000               :10853                                :YES
/promote/item-00424-10000               :8961                                :YES
/promote/item-00175-10000               :10269                                :YES
/promote/item-00018-10000               :10479                                :YES
/promote/item-00036-10000               :11882                                :YES
/promote/item-00296-10000               :8522                                :YES
/promote/item-00439-10000               :9180                                :YES
/promote/item-00131-10000               :8407                                :YES
/promote/item-00280-10000               :9424                                :YES
/promote/item-00137-10000               :9791                                :YES
/promote/item-00275-10000               :10806                                :YES
/promote/item-00234-10000               :9941                                :YES
/promote/item-00211-10000               :8348                                :YES
/promote/item-00004-10000               :9538                                :YES
/promote/item-00050-10000               :9346                                :YES
/promote/item-00071-10000               :8629                                :YES
/promote/item-00299-10000               :9561                                :YES
/promote/item-00172-10000               :10322                                :YES
/promote/item-00373-10000               :9910                                :YES
