The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :104.992653148
message ID:/promote/item-00073-10000                       :76.644301429
message ID:/promote/item-00067-10000                       :27.0601351012
message ID:/promote/item-00057-10000                       :71.9637434137
message ID:/promote/item-00005-10000                       :62.7165796156
message ID:/promote/item-00022-10000                       :121.777446422
message ID:/promote/item-00069-10000                       :154.134264866
message ID:/promote/item-00004-10000                       :138.264752342
message ID:/promote/item-00081-10000                       :38.8090968458
message ID:/promote/item-00071-10000                       :146.11026125
message ID:/promote/item-00046-10000                       :28.3733962785
message ID:/promote/item-00172-10000                       :149.53346349
message ID:/promote/item-00195-10000                       :39.4529540682
message ID:/promote/item-00043-10000                       :108.562054565
message ID:/promote/item-00002-10000                       :145.447935956
message ID:/promote/item-00181-10000                       :195.715609338
message ID:/promote/item-00165-10000                       :134.82268336
message ID:/promote/item-00011-10000                       :133.125325967
message ID:/promote/item-00042-10000                       :94.5640655578
message ID:/promote/item-00143-10000                       :59.0591205362
message ID:/promote/item-00127-10000                       :185.694069879
message ID:/promote/item-00147-10000                       :121.100969593
message ID:/promote/item-00102-10000                       :178.619214772
message ID:/promote/item-00099-10000                       :213.890118249
message ID:/promote/item-00130-10000                       :115.49451932
message ID:/promote/item-00145-10000                       :61.2823294891
message ID:/promote/item-00131-10000                       :202.747370963
message ID:/promote/item-00175-10000                       :204.078379848
message ID:/promote/item-00116-10000                       :175.496302976
message ID:/promote/item-00029-10000                       :118.074524814
message ID:/promote/item-00190-10000                       :59.2961558609
message ID:/promote/item-00092-10000                       :185.300302726
message ID:/promote/item-00007-10000                       :128.836308822
message ID:/promote/item-00017-10000                       :210.534218551
message ID:/promote/item-00006-10000                       :225.005465372
message ID:/promote/item-00060-10000                       :222.403769452
message ID:/promote/item-00100-10000                       :114.080095672
message ID:/promote/item-00094-10000                       :188.741294378
message ID:/promote/item-00037-10000                       :222.740879154
message ID:/promote/item-00179-10000                       :101.722537573
message ID:/promote/item-00122-10000                       :205.712854467
message ID:/promote/item-00194-10000                       :78.6514534644
message ID:/promote/item-00024-10000                       :135.003130983
