The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :105.992973148
message ID:/promote/item-00073-10000                       :76.643341429
message ID:/promote/item-00067-10000                       :26.0594951012
message ID:/promote/item-00057-10000                       :71.7653434137
message ID:/promote/item-00022-10000                       :129.973286422
message ID:/promote/item-00081-10000                       :30.8071768458
message ID:/promote/item-00004-10000                       :138.658992342
message ID:/promote/item-00071-10000                       :144.10834125
message ID:/promote/item-00046-10000                       :25.9666762785
message ID:/promote/item-00043-10000                       :108.759494565
message ID:/promote/item-00099-10000                       :187.685318249
message ID:/promote/item-00195-10000                       :52.6497540682
message ID:/promote/item-00165-10000                       :133.02140336
message ID:/promote/item-00002-10000                       :146.441855956
message ID:/promote/item-00011-10000                       :133.124685967
message ID:/promote/item-00005-10000                       :132.913379616
message ID:/promote/item-00143-10000                       :55.4520805362
message ID:/promote/item-00147-10000                       :121.899369593
message ID:/promote/item-00145-10000                       :60.4564094891
message ID:/promote/item-00175-10000                       :204.871339848
message ID:/promote/item-00102-10000                       :185.745934772
message ID:/promote/item-00130-10000                       :121.87787932
message ID:/promote/item-00190-10000                       :59.0897558609
message ID:/promote/item-00092-10000                       :185.855502726
message ID:/promote/item-00131-10000                       :209.721130963
message ID:/promote/item-00100-10000                       :111.628895672
message ID:/promote/item-00006-10000                       :228.336025372
message ID:/promote/item-00179-10000                       :100.512937573
message ID:/promote/item-00122-10000                       :205.706774467
message ID:/promote/item-00194-10000                       :75.2412134644
message ID:/promote/item-00024-10000                       :133.993530983
message ID:/promote/item-00116-10000                       :206.865902976
message ID:/promote/item-00181-10000                       :258.720089338
message ID:/promote/item-00047-10000                       :144.811886715
message ID:/promote/item-00050-10000                       :240.603843463
message ID:/promote/item-00028-10000                       :206.981024113
message ID:/promote/item-00109-10000                       :98.4087021014
message ID:/promote/item-00183-10000                       :93.0437681249
message ID:/promote/item-00150-10000                       :163.834013066
message ID:/promote/item-00094-10000                       :229.533934378
message ID:/promote/item-00017-10000                       :256.125898551
message ID:/promote/item-00074-10000                       :227.868181093
message ID:/promote/item-00029-10000                       :177.648604814
message ID:/promote/item-00137-10000                       :265.031533257
message ID:/promote/item-00142-10000                       :254.748467932
message ID:/promote/item-00030-10000                       :188.71023666
message ID:/promote/item-00193-10000                       :219.912703243
message ID:/promote/item-00072-10000                       :217.316228573
message ID:/promote/item-00000-10000                       :126.156188961
message ID:/promote/item-00015-10000                       :184.80072111
message ID:/promote/item-00187-10000                       :245.984200629
message ID:/promote/item-00173-10000                       :218.18942678
message ID:/promote/item-00196-10000                       :142.683764252
message ID:/promote/item-00083-10000                       :137.895832135
message ID:/promote/item-00063-10000                       :316.424139934
message ID:/promote/item-00066-10000                       :203.088944247
message ID:/promote/item-00069-10000                       :330.742264866
message ID:/promote/item-00146-10000                       :191.164044448
message ID:/promote/item-00156-10000                       :234.632565256
message ID:/promote/item-00093-10000                       :202.074631737
message ID:/promote/item-00106-10000                       :255.800327444
message ID:/promote/item-00153-10000                       :206.579500624
message ID:/promote/item-00107-10000                       :155.897654141
message ID:/promote/item-00068-10000                       :269.544069974
message ID:/promote/item-00186-10000                       :182.363583491
message ID:/promote/item-00001-10000                       :184.109328501
message ID:/promote/item-00121-10000                       :333.62964505
message ID:/promote/item-00124-10000                       :330.03294316
message ID:/promote/item-00049-10000                       :289.290203062
message ID:/promote/item-00140-10000                       :204.538993624
message ID:/promote/item-00064-10000                       :342.001568554
message ID:/promote/item-00040-10000                       :174.448409582
message ID:/promote/item-00182-10000                       :316.527459833
message ID:/promote/item-00053-10000                       :378.299719272
message ID:/promote/item-00020-10000                       :323.100122997
message ID:/promote/item-00136-10000                       :360.09844289
