The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :104.992653148
message ID:/promote/item-00073-10000                       :76.643661429
message ID:/promote/item-00067-10000                       :29.0604551012
message ID:/promote/item-00057-10000                       :73.9647034137
message ID:/promote/item-00022-10000                       :122.984806422
message ID:/promote/item-00069-10000                       :154.728184866
message ID:/promote/item-00004-10000                       :136.467312342
message ID:/promote/item-00081-10000                       :35.8097368458
message ID:/promote/item-00071-10000                       :144.11410125
message ID:/promote/item-00046-10000                       :28.7708362785
message ID:/promote/item-00195-10000                       :39.4699140682
message ID:/promote/item-00043-10000                       :106.760774565
message ID:/promote/item-00172-10000                       :166.73602349
message ID:/promote/item-00181-10000                       :193.713689338
message ID:/promote/item-00165-10000                       :134.02140336
message ID:/promote/item-00002-10000                       :147.446655956
message ID:/promote/item-00011-10000                       :133.128525967
message ID:/promote/item-00042-10000                       :94.1624655578
message ID:/promote/item-00005-10000                       :132.916579616
message ID:/promote/item-00143-10000                       :56.2540005362
message ID:/promote/item-00127-10000                       :185.893429879
message ID:/promote/item-00102-10000                       :175.849294772
message ID:/promote/item-00147-10000                       :124.102889593
message ID:/promote/item-00145-10000                       :62.0669694891
message ID:/promote/item-00130-10000                       :116.67979932
message ID:/promote/item-00131-10000                       :203.129450963
message ID:/promote/item-00190-10000                       :57.0964758609
message ID:/promote/item-00116-10000                       :175.878382976
message ID:/promote/item-00029-10000                       :118.456604814
message ID:/promote/item-00175-10000                       :206.078059848
message ID:/promote/item-00100-10000                       :109.248415672
message ID:/promote/item-00060-10000                       :220.779769452
message ID:/promote/item-00037-10000                       :218.672399154
message ID:/promote/item-00006-10000                       :228.972825372
message ID:/promote/item-00094-10000                       :192.541614378
message ID:/promote/item-00024-10000                       :126.000570983
message ID:/promote/item-00179-10000                       :107.719977573
message ID:/promote/item-00122-10000                       :209.711894467
message ID:/promote/item-00194-10000                       :81.6680934644
message ID:/promote/item-00047-10000                       :139.012206715
message ID:/promote/item-00142-10000                       :220.952307932
message ID:/promote/item-00092-10000                       :216.543502726
message ID:/promote/item-00050-10000                       :239.413763463
message ID:/promote/item-00109-10000                       :98.4218221014
message ID:/promote/item-00183-10000                       :93.8498481249
message ID:/promote/item-00150-10000                       :164.036573066
message ID:/promote/item-00028-10000                       :213.186464113
message ID:/promote/item-00016-10000                       :206.75794501
