The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00091-10000               :17                                :YES
/promote/item-00191-10000               :15                                :YES
/promote/item-00099-10000               :11                                :YES
/promote/item-00087-10000               :11                                :YES
/promote/item-00006-10000               :15                                :YES
/promote/item-00060-10000               :17                                :YES
/promote/item-00132-10000               :17                                :YES
/promote/item-00037-10000               :16                                :YES
/promote/item-00063-10000               :16                                :YES
/promote/item-00170-10000               :16                                :YES
/promote/item-00181-10000               :18                                :YES
/promote/item-00175-10000               :18                                :YES
/promote/item-00131-10000               :15                                :YES
/promote/item-00137-10000               :17                                :YES
/promote/item-00004-10000               :14                                :YES
/promote/item-00071-10000               :15                                :YES
/promote/item-00174-10000               :15                                :YES
/promote/item-00017-10000               :15                                :YES
/promote/item-00142-10000               :18                                :YES
/promote/item-00135-10000               :13                                :YES
/promote/item-00141-10000               :16                                :YES
/promote/item-00041-10000               :13                                :YES
/promote/item-00076-10000               :12                                :YES
/promote/item-00069-10000               :15                                :YES
/promote/item-00089-10000               :16                                :YES
/promote/item-00172-10000               :13                                :YES
/promote/item-00127-10000               :15                                :YES
/promote/item-00184-10000               :12                                :YES
/promote/item-00023-10000               :16                                :YES
/promote/item-00026-10000               :16                                :YES
/promote/item-00002-10000               :17                                :YES
/promote/item-00121-10000               :16                                :YES
/promote/item-00073-10000               :14                                :YES
/promote/item-00125-10000               :17                                :YES
/promote/item-00027-10000               :14                                :YES
/promote/item-00057-10000               :18                                :YES
/promote/item-00122-10000               :16                                :YES
/promote/item-00102-10000               :15                                :YES
/promote/item-00050-10000               :16                                :YES
/promote/item-00020-10000               :13                                :YES
/promote/item-00094-10000               :14                                :YES
/promote/item-00136-10000               :12                                :YES
/promote/item-00182-10000               :13                                :YES
/promote/item-00176-10000               :15                                :YES
/promote/item-00165-10000               :13                                :YES
/promote/item-00022-10000               :17                                :YES
/promote/item-00074-10000               :14                                :YES
/promote/item-00011-10000               :14                                :YES
/promote/item-00036-10000               :14                                :YES
/promote/item-00116-10000               :13                                :YES
/promote/item-00005-10000               :18                                :YES
/promote/item-00065-10000               :13                                :YES
/promote/item-00092-10000               :16                                :YES
/promote/item-00055-10000               :18                                :YES
/promote/item-00082-10000               :16                                :YES
/promote/item-00028-10000               :15                                :YES
