The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :104.992573148
message ID:/promote/item-00073-10000                       :76.644221429
message ID:/promote/item-00067-10000                       :27.0599751012
message ID:/promote/item-00057-10000                       :72.9652634137
message ID:/promote/item-00005-10000                       :64.7153796156
message ID:/promote/item-00022-10000                       :124.586086422
message ID:/promote/item-00069-10000                       :154.132264866
message ID:/promote/item-00081-10000                       :36.0316568458
message ID:/promote/item-00004-10000                       :140.662112342
message ID:/promote/item-00071-10000                       :145.13946125
message ID:/promote/item-00046-10000                       :30.5777962785
message ID:/promote/item-00195-10000                       :42.0554340682
message ID:/promote/item-00043-10000                       :107.561894565
message ID:/promote/item-00002-10000                       :145.444015956
message ID:/promote/item-00099-10000                       :192.328358249
message ID:/promote/item-00165-10000                       :135.82244336
message ID:/promote/item-00172-10000                       :174.95474349
message ID:/promote/item-00181-10000                       :203.582329338
message ID:/promote/item-00011-10000                       :142.753725967
message ID:/promote/item-00102-10000                       :174.749694772
message ID:/promote/item-00127-10000                       :186.494709879
message ID:/promote/item-00143-10000                       :61.0655205362
message ID:/promote/item-00042-10000                       :107.388865558
message ID:/promote/item-00130-10000                       :116.68155932
message ID:/promote/item-00175-10000                       :204.880139848
message ID:/promote/item-00145-10000                       :70.7206494891
message ID:/promote/item-00131-10000                       :216.181770963
message ID:/promote/item-00029-10000                       :132.308044814
message ID:/promote/item-00147-10000                       :146.244809593
message ID:/promote/item-00006-10000                       :236.846025372
message ID:/promote/item-00190-10000                       :76.8383958609
message ID:/promote/item-00116-10000                       :196.139502976
message ID:/promote/item-00122-10000                       :208.356694467
message ID:/promote/item-00094-10000                       :202.364814378
message ID:/promote/item-00179-10000                       :115.323897573
message ID:/promote/item-00055-10000                       :244.137377346
message ID:/promote/item-00007-10000                       :151.549908822
message ID:/promote/item-00100-10000                       :136.721135672
message ID:/promote/item-00194-10000                       :88.3707334644
message ID:/promote/item-00037-10000                       :245.371999154
message ID:/promote/item-00023-10000                       :230.081518798
message ID:/promote/item-00092-10000                       :218.156622726
message ID:/promote/item-00017-10000                       :254.939098551
message ID:/promote/item-00074-10000                       :228.475541093
message ID:/promote/item-00060-10000                       :270.560569452
message ID:/promote/item-00089-10000                       :240.756686428
message ID:/promote/item-00050-10000                       :264.047763463
message ID:/promote/item-00109-10000                       :120.631262101
message ID:/promote/item-00183-10000                       :118.178888125
message ID:/promote/item-00030-10000                       :192.13711666
message ID:/promote/item-00142-10000                       :261.686947932
message ID:/promote/item-00150-10000                       :195.854573066
message ID:/promote/item-00072-10000                       :223.458308573
message ID:/promote/item-00187-10000                       :247.415640629
message ID:/promote/item-00193-10000                       :230.869583243
message ID:/promote/item-00000-10000                       :137.010748961
message ID:/promote/item-00028-10000                       :262.811664113
message ID:/promote/item-00146-10000                       :180.978044448
message ID:/promote/item-00045-10000                       :174.480279447
message ID:/promote/item-00137-10000                       :303.423693257
message ID:/promote/item-00174-10000                       :295.653434442
message ID:/promote/item-00063-10000                       :322.881899934
message ID:/promote/item-00083-10000                       :160.038152135
message ID:/promote/item-00093-10000                       :211.545591737
message ID:/promote/item-00121-10000                       :323.04516505
message ID:/promote/item-00114-10000                       :217.341523229
message ID:/promote/item-00015-10000                       :246.16928111
message ID:/promote/item-00124-10000                       :330.66174316
message ID:/promote/item-00024-10000                       :248.228650983
message ID:/promote/item-00173-10000                       :278.69942678
message ID:/promote/item-00061-10000                       :202.695528482
message ID:/promote/item-00132-10000                       :365.78793492
message ID:/promote/item-00112-10000                       :278.060339272
message ID:/promote/item-00110-10000                       :240.776367265
message ID:/promote/item-00053-10000                       :392.556279272
message ID:/promote/item-00140-10000                       :235.949153624
message ID:/promote/item-00104-10000                       :357.423206804
message ID:/promote/item-00064-10000                       :375.789088554
message ID:/promote/item-00196-10000                       :236.968004252
message ID:/promote/item-00080-10000                       :273.384647221
message ID:/promote/item-00182-10000                       :346.831859833
message ID:/promote/item-00153-10000                       :272.281900624
message ID:/promote/item-00038-10000                       :288.761191932
message ID:/promote/item-00033-10000                       :253.534835714
message ID:/promote/item-00144-10000                       :258.461876794
message ID:/promote/item-00066-10000                       :305.255024247
message ID:/promote/item-00106-10000                       :360.254007444
message ID:/promote/item-00177-10000                       :260.383192876
message ID:/promote/item-00049-10000                       :387.253483062
message ID:/promote/item-00082-10000                       :426.09845208
message ID:/promote/item-00075-10000                       :325.968490447
message ID:/promote/item-00159-10000                       :322.595731637
message ID:/promote/item-00058-10000                       :417.797741525
message ID:/promote/item-00001-10000                       :308.642608501
message ID:/promote/item-00020-10000                       :426.325242997
message ID:/promote/item-00136-10000                       :464.36500289
message ID:/promote/item-00191-10000                       :499.340743116
message ID:/promote/item-00148-10000                       :326.71313893
message ID:/promote/item-00160-10000                       :390.966976918
message ID:/promote/item-00125-10000                       :518.318029419
message ID:/promote/item-00141-10000                       :510.606967607
message ID:/promote/item-00162-10000                       :499.513682983
message ID:/promote/item-00158-10000                       :456.92571828
message ID:/promote/item-00178-10000                       :483.28922142
message ID:/promote/item-00135-10000                       :532.55246387
message ID:/promote/item-00138-10000                       :479.066748551
message ID:/promote/item-00119-10000                       :483.687957243
message ID:/promote/item-00168-10000                       :446.771789588
message ID:/promote/item-00149-10000                       :436.785894852
message ID:/promote/item-00086-10000                       :448.669358578
message ID:/promote/item-00003-10000                       :455.759583837
message ID:/promote/item-00156-10000                       :539.873445256
message ID:/promote/item-00171-10000                       :564.971511371
message ID:/promote/item-00134-10000                       :534.193733954
message ID:/promote/item-00065-10000                       :603.351494361
message ID:/promote/item-00013-10000                       :526.738065198
message ID:/promote/item-00164-10000                       :585.368519829
message ID:/promote/item-00188-10000                       :603.796438128
message ID:/promote/item-00040-10000                       :506.639769582
message ID:/promote/item-00041-10000                       :674.587127094
message ID:/promote/item-00018-10000                       :746.708536873
message ID:/promote/item-00129-10000                       :637.407137174
message ID:/promote/item-00047-10000                       :692.468206715
message ID:/promote/item-00034-10000                       :637.733489024
message ID:/promote/item-00152-10000                       :705.331850327
message ID:/promote/item-00084-10000                       :754.134870488
message ID:/promote/item-00155-10000                       :868.180866046
message ID:/promote/item-00009-10000                       :830.853102252
message ID:/promote/item-00133-10000                       :774.905916953
message ID:/promote/item-00120-10000                       :750.863445082
message ID:/promote/item-00118-10000                       :749.379540153
message ID:/promote/item-00087-10000                       :951.361025906
message ID:/promote/item-00163-10000                       :816.482636991
message ID:/promote/item-00008-10000                       :956.113656781
message ID:/promote/item-00113-10000                       :958.696188472
message ID:/promote/item-00185-10000                       :968.430024845
message ID:/promote/item-00123-10000                       :1065.78608373
message ID:/promote/item-00097-10000                       :1036.90892995
message ID:/promote/item-00088-10000                       :1051.93605459
message ID:/promote/item-00166-10000                       :1270.96797535
message ID:/promote/item-00078-10000                       :1300.58203858
message ID:/promote/item-00176-10000                       :1472.58525548
message ID:/promote/item-00161-10000                       :21603.8048769
message ID:/promote/item-00054-10000                       :21588.0183098
message ID:/promote/item-00180-10000                       :21510.0640387
message ID:/promote/item-00014-10000                       :21593.6089546
message ID:/promote/item-00068-10000                       :21633.07215
message ID:/promote/item-00115-10000                       :21586.1472996
message ID:/promote/item-00032-10000                       :21596.936939
message ID:/promote/item-00085-10000                       :21660.3869079
message ID:/promote/item-00184-10000                       :21729.7213392
message ID:/promote/item-00056-10000                       :21624.1741954
message ID:/promote/item-00070-10000                       :21580.5100056
message ID:/promote/item-00199-10000                       :21697.394295
message ID:/promote/item-00107-10000                       :21595.3008541
message ID:/promote/item-00044-10000                       :21679.4628104
message ID:/promote/item-00098-10000                       :21628.1075806
message ID:/promote/item-00189-10000                       :21622.1492024
message ID:/promote/item-00103-10000                       :21687.4978821
message ID:/promote/item-00025-10000                       :21706.1541862
message ID:/promote/item-00052-10000                       :21670.8570604
message ID:/promote/item-00095-10000                       :21667.2300698
message ID:/promote/item-00079-10000                       :21682.1754105
message ID:/promote/item-00111-10000                       :21817.1035531
message ID:/promote/item-00090-10000                       :21725.339825
message ID:/promote/item-00117-10000                       :21741.6936539
message ID:/promote/item-00198-10000                       :21765.9835093
message ID:/promote/item-00027-10000                       :21832.3249508
message ID:/promote/item-00151-10000                       :21729.530915
message ID:/promote/item-00076-10000                       :21868.3599065
message ID:/promote/item-00059-10000                       :21801.0630898
message ID:/promote/item-00019-10000                       :21770.8849326
message ID:/promote/item-00157-10000                       :21875.3822872
message ID:/promote/item-00039-10000                       :21773.7456623
message ID:/promote/item-00031-10000                       :21748.634517
message ID:/promote/item-00154-10000                       :21789.5276271
message ID:/promote/item-00012-10000                       :21797.5501694
message ID:/promote/item-00101-10000                       :21778.7475554
message ID:/promote/item-00108-10000                       :21856.5206799
message ID:/promote/item-00036-10000                       :21956.3542166
message ID:/promote/item-00016-10000                       :21910.166985
message ID:/promote/item-00170-10000                       :22006.5963518
