The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00091-10000               :1323                                :YES
/promote/item-00191-10000               :1491                                :YES
/promote/item-00099-10000               :1335                                :YES
/promote/item-00087-10000               :1247                                :YES
/promote/item-00006-10000               :1495                                :YES
/promote/item-00060-10000               :1993                                :YES
/promote/item-00132-10000               :2282                                :YES
/promote/item-00037-10000               :2295                                :YES
/promote/item-00063-10000               :2861                                :YES
/promote/item-00170-10000               :1925                                :YES
/promote/item-00181-10000               :2173                                :YES
/promote/item-00175-10000               :1824                                :YES
/promote/item-00131-10000               :1535                                :YES
/promote/item-00137-10000               :1629                                :YES
/promote/item-00004-10000               :2057                                :YES
/promote/item-00071-10000               :1503                                :YES
/promote/item-00174-10000               :1519                                :YES
/promote/item-00017-10000               :1477                                :YES
/promote/item-00142-10000               :1272                                :YES
/promote/item-00141-10000               :1629                                :YES
/promote/item-00135-10000               :1984                                :YES
/promote/item-00041-10000               :1363                                :YES
/promote/item-00069-10000               :1981                                :YES
/promote/item-00172-10000               :1913                                :YES
/promote/item-00026-10000               :2015                                :YES
/promote/item-00121-10000               :1816                                :YES
/promote/item-00127-10000               :1784                                :YES
/promote/item-00184-10000               :1002                                :YES
/promote/item-00089-10000               :2118                                :YES
/promote/item-00125-10000               :2175                                :YES
/promote/item-00002-10000               :2092                                :YES
/promote/item-00023-10000               :2547                                :YES
/promote/item-00073-10000               :890                                :YES
/promote/item-00102-10000               :1488                                :YES
/promote/item-00122-10000               :2711                                :YES
/promote/item-00050-10000               :1522                                :YES
/promote/item-00020-10000               :1601                                :YES
/promote/item-00027-10000               :2398                                :YES
/promote/item-00094-10000               :1513                                :YES
/promote/item-00136-10000               :1743                                :YES
/promote/item-00176-10000               :1644                                :YES
/promote/item-00182-10000               :1726                                :YES
/promote/item-00165-10000               :2605                                :YES
/promote/item-00022-10000               :2292                                :YES
/promote/item-00074-10000               :1889                                :YES
/promote/item-00116-10000               :1552                                :YES
/promote/item-00011-10000               :2300                                :YES
/promote/item-00036-10000               :1757                                :YES
/promote/item-00005-10000               :1981                                :YES
/promote/item-00065-10000               :1673                                :YES
/promote/item-00092-10000               :1596                                :YES
/promote/item-00055-10000               :2252                                :YES
/promote/item-00057-10000               :2038                                :YES
/promote/item-00082-10000               :1216                                :YES
/promote/item-00028-10000               :1503                                :YES
/promote/item-00072-10000               :2087                                :YES
/promote/item-00076-10000               :2066                                :YES
/promote/item-00178-10000               :1479                                :YES
/promote/item-00008-10000               :1837                                :YES
/promote/item-00064-10000               :2198                                :YES
/promote/item-00043-10000               :1885                                :YES
/promote/item-00051-10000               :2062                                :YES
/promote/item-00161-10000               :1603                                :YES
/promote/item-00147-10000               :2210                                :YES
/promote/item-00085-10000               :1536                                :YES
/promote/item-00171-10000               :1468                                :YES
/promote/item-00157-10000               :1923                                :YES
/promote/item-00162-10000               :1274                                :YES
/promote/item-00053-10000               :1618                                :YES
/promote/item-00058-10000               :1352                                :YES
/promote/item-00155-10000               :2764                                :YES
/promote/item-00009-10000               :2058                                :YES
/promote/item-00112-10000               :1475                                :YES
/promote/item-00029-10000               :1558                                :YES
/promote/item-00158-10000               :2489                                :YES
/promote/item-00188-10000               :2858                                :YES
/promote/item-00068-10000               :1736                                :YES
/promote/item-00119-10000               :1709                                :YES
/promote/item-00173-10000               :1747                                :YES
/promote/item-00150-10000               :2055                                :YES
/promote/item-00108-10000               :2066                                :YES
/promote/item-00007-10000               :1404                                :YES
/promote/item-00054-10000               :1142                                :YES
/promote/item-00015-10000               :2244                                :YES
/promote/item-00185-10000               :2158                                :YES
/promote/item-00059-10000               :1382                                :YES
/promote/item-00156-10000               :1420                                :YES
/promote/item-00016-10000               :1918                                :YES
/promote/item-00042-10000               :1812                                :YES
/promote/item-00193-10000               :1855                                :YES
/promote/item-00024-10000               :1692                                :YES
/promote/item-00067-10000               :2027                                :YES
/promote/item-00198-10000               :2131                                :YES
/promote/item-00187-10000               :2956                                :YES
/promote/item-00130-10000               :2323                                :YES
/promote/item-00049-10000               :2308                                :YES
/promote/item-00123-10000               :1576                                :YES
/promote/item-00167-10000               :1839                                :YES
/promote/item-00134-10000               :1647                                :YES
/promote/item-00164-10000               :2096                                :YES
/promote/item-00139-10000               :1265                                :YES
/promote/item-00166-10000               :1240                                :YES
/promote/item-00160-10000               :2392                                :YES
/promote/item-00014-10000               :1097                                :YES
/promote/item-00103-10000               :1695                                :YES
/promote/item-00081-10000               :1899                                :YES
/promote/item-00080-10000               :1592                                :YES
/promote/item-00114-10000               :1629                                :YES
/promote/item-00117-10000               :1803                                :YES
/promote/item-00199-10000               :1291                                :YES
/promote/item-00168-10000               :2121                                :YES
/promote/item-00133-10000               :1550                                :YES
/promote/item-00195-10000               :2226                                :YES
/promote/item-00066-10000               :1627                                :YES
/promote/item-00056-10000               :1704                                :YES
/promote/item-00146-10000               :1507                                :YES
/promote/item-00115-10000               :1590                                :YES
/promote/item-00179-10000               :1387                                :YES
/promote/item-00046-10000               :1423                                :YES
/promote/item-00075-10000               :2552                                :YES
/promote/item-00044-10000               :1510                                :YES
/promote/item-00163-10000               :1375                                :YES
/promote/item-00100-10000               :1517                                :YES
/promote/item-00019-10000               :1209                                :YES
/promote/item-00110-10000               :1339                                :YES
/promote/item-00143-10000               :1705                                :YES
/promote/item-00093-10000               :1684                                :YES
/promote/item-00045-10000               :2217                                :YES
/promote/item-00145-10000               :2054                                :YES
/promote/item-00012-10000               :1415                                :YES
/promote/item-00030-10000               :1895                                :YES
/promote/item-00113-10000               :1613                                :YES
/promote/item-00013-10000               :1554                                :YES
/promote/item-00106-10000               :2661                                :YES
/promote/item-00025-10000               :1662                                :YES
/promote/item-00047-10000               :1732                                :YES
/promote/item-00105-10000               :1252                                :YES
/promote/item-00152-10000               :1438                                :YES
